LaneIndex,Block,Row,Column,PeakStart,PeakEnd,PeakCenter,PeakHeight,PeakFWHM,PeakArea,"Well Center, X (pixels)","Well Center, Y (pixels)"
4763,12,10,3,395,745,525,190.444876872911,105,22113.3135057148,5637.5,3970
4765,12,10,5,395,710,535,722.49320460794,105,80974.3000496832,5717.5,3970
4773,12,10,13,415,665,525,287.089942964651,90,27597.6081055218,6037.5,3970
4778,12,10,18,390,705,515,1092.61687336208,100,120626.206586145,6237.5,3970
4779,12,10,19,425,670,525,178.227877637142,105,19539.0011794052,6277.5,3970
4783,12,10,23,395,665,525,300.851033329219,105,34124.8010000832,6437.5,3970
4787,12,10,27,390,690,530,1576.56665807112,100,171036.676649466,6597.5,3970
4799,12,10,39,590,780,670,1132.92670978667,45,76792.097428867,7077.5,3970
4805,13,1,5,370,705,520,1686.3503534239,125,219198.86907452,7442.5,2350
4809,13,1,9,365,655,500,839.419344399397,95,85391.2536276639,7602.5,2350
4820,13,1,20,370,655,500,299.39557348624,95,31812.4945096409,8042.5,2350
4843,13,2,3,365,645,505,2638.80560812441,90,267609.286357089,7362.5,2530
4845,13,2,5,350,700,515,1198.22448364427,125,159109.276230902,7442.5,2530
4847,13,2,7,340,635,490,3630.93935831938,95,382751.706276321,7522.5,2530
4857,13,2,17,360,655,505,5540.7173663196,95,581833.959857325,7922.5,2530
4861,13,2,21,360,650,500,531.519161948427,95,56454.3025068155,8082.5,2530
4864,13,2,24,390,715,545,560.768125883477,130,75733.4989307083,8202.5,2530
4869,13,2,29,360,640,495,3013.17441460234,90,301090.957476144,8402.5,2530
4875,13,2,35,360,645,500,2338.83893668584,95,240018.999104652,8642.5,2530
4882,13,3,2,370,675,495,763.064701402677,100,80527.0917419562,7322.5,2710
4898,13,3,18,355,665,495,383.627560108946,95,41909.8331083583,7962.5,2710
4904,13,3,24,365,650,495,435.320284111104,95,45228.9196527374,8202.5,2710
4906,13,3,26,340,630,490,205.00337910912,95,20880.1409957712,8282.5,2710
4927,13,4,7,365,630,490,694.592240036756,95,70599.6442681474,7522.5,2890
4948,13,4,28,290,660,485,388.456874022714,115,50299.734628543,8362.5,2890
4949,13,4,29,305,635,480,2019.26924357699,100,226067.653332423,8402.5,2890
4981,13,5,21,335,640,490,1805.01983558625,100,196170.006776213,8082.5,3070
4996,13,5,36,380,690,530,199.041222761714,135,28561.5657315494,8682.5,3070
4998,13,5,38,315,625,485,442.038551025172,95,45872.5541989262,8762.5,3070
5002,13,6,2,350,650,495,1616.52166831351,95,172468.846311234,7322.5,3250
5010,13,6,10,370,655,510,1351.53233020705,95,142579.752818863,7642.5,3250
5014,13,6,14,355,670,505,1195.48685467589,95,128789.947061606,7802.5,3250
5019,13,6,19,360,660,505,1611.83030752316,100,171329.766621475,8002.5,3250
5026,13,6,26,325,635,500,297.446871786177,90,31063.3618612435,8282.5,3250
5032,13,6,32,385,670,515,1082.69913266029,95,109236.806771097,8522.5,3250
5040,13,6,40,340,655,495,357.826885744209,95,38048.8827392258,8842.5,3250
5048,13,7,8,380,685,515,591.245963494986,95,65245.216269205,7562.5,3430
5065,13,7,25,360,655,500,2384.66990039176,90,244596.251660741,8242.5,3430
5067,13,7,27,375,670,510,2242.12495918416,95,232218.665407506,8322.5,3430
5069,13,7,29,365,660,510,5671.08258046217,95,590192.087028403,8402.5,3430
5071,13,7,31,325,645,495,5061.64333640159,100,555332.446466831,8482.5,3430
5074,13,7,34,325,640,495,887.006163964992,100,96984.5632986497,8602.5,3430
5076,13,7,36,385,665,510,695.671325642806,95,71984.7553074692,8682.5,3430
5081,13,8,1,370,650,515,373.249200207606,100,39605.6530468935,7282.5,3610
5082,13,8,2,355,685,520,260.002634330122,95,29246.2508083794,7322.5,3610
5101,13,8,21,370,710,520,646.529726789227,100,70912.9850305494,8082.5,3610
5104,13,8,24,330,660,505,1486.07996395839,95,161919.658495503,8202.5,3610
5108,13,8,28,375,675,515,3638.3467785731,95,380672.362237849,8362.5,3610
5118,13,8,38,400,740,535,346.233999976099,110,43124.2899522349,8762.5,3610
5119,13,8,39,380,670,520,2408.96990155696,95,248563.47355812,8802.5,3610
5129,13,9,9,370,670,515,1474.94627442992,100,159760.726289853,7602.5,3790
5131,13,9,11,390,725,530,1663.51106734234,105,194721.24871199,7682.5,3790
5141,13,9,21,350,695,520,2054.24755204293,105,233790.496514839,8082.5,3790
5143,13,9,23,410,710,535,530.090074739014,100,57775.5557584869,8162.5,3790
5158,13,9,38,405,720,545,1629.81974381435,95,173078.758101407,8762.5,3790
5162,13,10,2,395,715,535,1686.70411580005,100,185694.051660439,7322.5,3970
5167,13,10,7,380,725,525,1006.75210281468,100,113649.99241934,7522.5,3970
5189,13,10,29,395,690,535,1928.81963073169,100,205695.508925952,8402.5,3970
5192,13,10,32,405,725,550,330.804870063245,105,38240.5134892621,8522.5,3970
5197,13,10,37,405,705,545,3517.49031229429,100,375907.297896303,8722.5,3970
5202,14,1,2,380,705,505,263.953783014918,95,28596.3504425821,9047.5,2350
5216,14,1,16,370,645,505,2090.40537408106,90,204963.694826035,9607.5,2350
5227,14,1,27,350,625,485,2115.56206997374,90,205462.194247335,10047.5,2350
5235,14,1,35,360,640,495,3857.4557285531,90,379959.426683882,10367.5,2350
5240,14,1,40,320,635,465,496.115766646593,95,53127.9672026808,10567.5,2350
5244,14,2,4,365,645,505,1708.68203924284,90,169687.97412852,9127.5,2530
5249,14,2,9,315,630,490,760.408004480914,95,81554.5623563817,9327.5,2530
5266,14,2,26,335,615,475,1335.92173940337,90,131955.300844304,10007.5,2530
5274,14,2,34,305,600,470,651.404939675349,90,66089.9035578082,10327.5,2530
5277,14,2,37,345,620,480,3362.57230946697,90,328310.05741365,10447.5,2530
5284,14,3,4,350,630,490,6317.91740238714,95,630883.45913132,9127.5,2710
5286,14,3,6,325,645,505,221.437416213655,105,26458.4103041541,9207.5,2710
5292,14,3,12,370,605,490,179.329395457263,90,16924.8258047585,9447.5,2710
5294,14,3,14,370,645,500,3682.81769220642,85,358963.3898322,9527.5,2710
5298,14,3,18,365,615,495,171.924156422065,90,17310.0423411285,9687.5,2710
5299,14,3,19,350,635,495,1438.01094180524,95,148789.105380506,9727.5,2710
5301,14,3,21,370,630,485,561.007390386255,90,54304.09491776,9807.5,2710
5308,14,3,28,325,645,480,473.24077500097,95,50747.5343327842,10087.5,2710
5317,14,3,37,370,680,505,662.303246587252,125,85848.0948871616,10447.5,2710
5330,14,4,10,365,635,495,2421.28729739235,85,236128.355158872,9367.5,2890
5335,14,4,15,360,630,490,7193.4737832608,90,697227.287349273,9567.5,2890
5345,14,4,25,335,675,490,4451.31802077521,110,532947.277245665,9967.5,2890
5349,14,4,29,265,620,470,1100.7356664191,105,128071.584594049,10127.5,2890
5351,14,4,31,335,640,470,1016.64761033822,90,103794.652835393,10207.5,2890
5354,14,4,34,365,630,475,247.294944194949,90,24375.1534499581,10327.5,2890
5358,14,4,38,420,670,545,326.359119732918,95,32816.8802252499,10487.5,2890
5374,14,5,14,295,625,480,1629.34052830689,95,176213.290720112,9527.5,3070
5376,14,5,16,325,625,480,2888.97385511619,90,300591.888105725,9607.5,3070
5381,14,5,21,315,630,475,2700.29745518747,95,291866.315600692,9807.5,3070
5384,14,5,24,350,620,485,1412.79341319334,90,138987.57704288,9927.5,3070
5392,14,5,32,345,470,410,413.318879229394,40,18700.3729630835,10247.5,3070
5398,14,5,38,330,605,470,4103.81426045735,90,400043.927356806,10487.5,3070
5402,14,6,2,295,635,490,250.769169220776,100,28326.6211056871,9047.5,3250
5405,14,6,5,375,640,495,1447.00669944045,90,140978.389893048,9167.5,3250
5408,14,6,8,380,635,500,534.849486719419,90,52735.6772276169,9287.5,3250
5424,14,6,24,345,625,485,1685.23681752384,95,169289.285478895,9927.5,3250
5430,14,6,30,335,605,475,428.844616885561,90,42664.6421620625,10167.5,3250
5438,14,6,38,335,630,480,5981.5198382034,90,605844.905924215,10487.5,3250
5447,14,7,7,350,645,500,2874.81359548188,95,303059.968373606,9247.5,3430
5456,14,7,16,340,640,490,4225.8263248682,95,439612.705633682,9607.5,3430
5459,14,7,19,365,485,425,927.569580512434,35,37842.0211589781,9727.5,3430
5464,14,7,24,355,635,490,2196.66892565228,90,220928.007041089,9927.5,3430
5465,14,7,25,370,675,495,251.20000518807,90,27443.9899347435,9967.5,3430
5479,14,7,39,300,605,465,1180.10757245787,95,124674.058918588,10527.5,3430
5483,14,8,3,370,665,515,2787.28345608809,95,290295.669415114,9087.5,3610
5497,14,8,17,375,660,505,1449.27482408182,90,147130.046933538,9647.5,3610
5509,14,8,29,365,645,500,3949.08647196725,95,397509.408473306,10127.5,3610
5511,14,8,31,315,685,495,742.995619486791,100,85094.0196362343,10207.5,3610
5514,14,8,34,320,630,480,687.768631038365,105,78043.7885691847,10327.5,3610
5517,14,8,37,375,650,495,406.687040356314,90,40027.9322003054,10447.5,3610
5543,14,9,23,370,685,515,957.797912263686,90,100856.242162334,9887.5,3790
5546,14,9,26,405,700,525,517.660314249062,95,53426.2332779246,10007.5,3790
5550,14,9,30,405,680,525,448.062201459166,100,47469.2271247926,10167.5,3790
5555,14,9,35,380,685,520,1499.35276431031,95,155794.053004903,10367.5,3790
5564,14,10,4,410,700,545,1545.84023571247,95,161672.015626584,9127.5,3970
5575,14,10,15,380,675,525,2262.02660038891,90,233981.328002903,9567.5,3970
5591,14,10,31,400,680,530,7729.27175990021,95,786374.07860405,10207.5,3970
5595,14,10,35,385,670,520,4621.8762349616,90,468562.626331004,10367.5,3970
5597,14,10,37,430,750,550,299.505120629758,120,37568.5963262413,10447.5,3970
5603,15,1,3,330,605,470,827.400483915991,85,80602.9721326174,10812.5,2350
5604,15,1,4,335,680,535,241.815055833071,135,35817.7340370502,10852.5,2350
5609,15,1,9,320,615,470,4436.08131098536,95,457129.781611168,11052.5,2350
